pid,question
22,I WOULD LIKE TO SEE THE ISSUES OF GENTRIFICATION AND OUR BLACK AND BROWN POPULATIONS GETTING PUSHED OUT OF AUSTIN ADDRESSED.
23,I AM AGAINST YOUR DECISION FOR THE HOMELESS TENT CITY MY NEIGHBORHOOD WAS SAFE FOR MY KIDS AND NOW I AM ALWAYS CHECKING FOR HOMELESS.
24,Traffic Congestion especially on IH 35.
25,PLEASE MAKE MORE LANES.
26,"YOU ARE IN OFFICE BECASUE THE PEOPLE PUT YOU THERE, SO START LISTENING TO ALL THE PEOPLE INSTEAD OF THE ONES WHO ONLY BELIEVE IN YOUR AGENDA. YOU SHOULD BE ASHAMED FOR THE WAY YOU ARE IGNORING FEDERAL LAWS REGARDING IMMIGRATION, ETC AND GIVING SERVICES AND BENEFITS AND SCHOOLING TO PEOPLE HERE ILLEGALLY, RATHER THAN TAKING CARE OF THE CITIZENS."
27,Thank you for creating the Health Equity office and your work with Community organizations!
28,You have created a problem at Manchaca and Ben White by allowing public camping. They are blocking the sidewalks and posing a health and safety hazard to the children who have to walk to school.
29,"You , do not and have never representative any of the people that liv east of I-35!!!"
30,Fix this traffic mess!!!!!
31,"Open your mind, expand your world of people with different view points and life experiences, learn to listen to people with different idea s and points of view and remember that you serve all of the community, not just your supporters and niche interest groups."
32,More affordable housing and the highways need to be expanded
33,"Repair roads going towards ""Goodnight"" sub-division from Thaxton to Nuckols Crossing."
34,Broaden your mind.  Talk AND LISTEN to people who have different points of view and who belong to the other political party.  Research your planned projects EFORE you implement them.
35,AS WE TRANSITION TO A BIG CITY MORE ATTENTION NEEDS TO PUT ON AFFORDABILITY TO CITIZENS WHO WERE ALREADY HERE AND NOT THOSE RELOCATING HERE.
36,Affordable housing
37,"Rethink creating bait to draw in illegals, homeless, vagrants and gays.  I have nothing against any of these but think Austin  is wrong to encourage their moving here.  If they move here without our programs designed to draw them here. that's fine. If tough love is good for kids it's good for Austin."
38,CONFUSING TX TOLL TAGS AND FEES
39,Stop pandering to the real estate developers and contain the growth of the area until there is sufficient infrastructure to accommodate the growth.
40,More programs to help people buy homes.
41,More initiatives to protect residents of East Austin.  Limit gentrification!
42,Apply fairness in employment and treatment to minorities
43,Will you please find innovative and new options to help the homeless yet alleviate the city from the vast amounts living on our streets and in our parks.
44,"Working middle class needs help. We take care of stuff rich people don't want to do, make it easier on us to help us help you. 
What are you going to do when we all leave to live some place we can afford?"
45,More jobs south.
46,PROVIDE BETTER ROADS AND TRAFFIC CONGESTION.
47,IMPROVING AND EXPANDING STREETS FOR AUTOMOBILE TRAFFIC.
48,Love Austin but we need affordable housing for Seniors where the rent does not continue to increase every year. We are on a fixed income and it is getting harder and harder to survive . I should be able to survive here. Right?
49,The new homeless shelter to be put on Ben White is a scam.   How did the city pay close to three to the value of the property?  Place homeless shelters outside of business and residential areas
50,Stop raising our taxes and stop wasting our money.  The high cost of living is forcing us and many other families to move out of the City.
51,Housing cost and traffic is this city are ridiculous
52,Get rid of the tent cities and come up with some reasonable solutions to the homeless problem.
53,Austin needs diversity and affordable housing.
54,"Tell the Mayor that, ""he is doing a good job"", but I know it takes time to get things in order.  To keep the homeless camps cleaner."
55,"Homelessness - I believe we are too laxed in addressing this issue on our city. Though we need to be compassionate, we also need rules, laws, ordices that address where they can setup their tents, trash that is left around their areas, panhandling, roaming through residential neighborhoods, etc..."
56,More affordable housing
57,Be inclusive of all Austinites and not just your circle.  We all something to bring to the table not just the loudest people.
58,"fix the roads, toll roads are more expensive in Central Texas  then anywhere else in Texas.  The cost of living in Austin has to be regulated .  Taxing out longtime residents has to stop .
Bike lanes are not the answer, During rush hour theirs nobody riding bike on the bike lanes.  Bike lanes create more congestion .  
Austin not only  20-30 years old.   Older Generation is not trying to get on a bike or bus. To get around ."
59,Housing prices are way too high.
60,Change the homeless policy and further restrict the number of scooters allowed. Our downtown looks cluttered and dirty and has become unsafe.
61,The amount of homeless personnel living throughout the Austin area.
62,My work and my kids school are not where I live.  Unfortunately quality isn't a known in my neighborhood.  But the cost of living in my neighborhood is unreasonably high.
63,"Do a better job be consistent treat everyone the same be equal to everyone make it reasonable for all residents fair housing, to many apartments  not enough housing residents are totally divided and being treated differently and you're all allowing it to happen talking about, do something about it stop smiling in everyone faces lead by example."
64,I would love to see a Ficial income raised and better housing affordability
65,We need to do more for our children
66,LESS homelessness LESS taxes LESS restrictions(let someone drink a beer and drive a car) LESS growth/people.  thanx ~
67,STOP OUT OF CONTROL SPENDING
68,REDUCE TRAVIS COUNTY PROPERTY TAXES
69,Work on homelessness..  there are areas I won't go because of the aggressive behavior.
70,ALL RESIDENTS SHOULD PAY FOR SOME CITY TAXES. EVERYONE WHO HAS KIDS IN SCHOOL SHOULD PAY CITY TAXES.
71,parking is too costly. more parking for seniors.
72,NEED HOUSING THAT NORMAL MIDDLE CLASS WORKING PEOPLE CAN AFFORD.
73,PROPERTY TAX IS HIGH.
74,TRAFFIC AND AFFORDABLE HOUSING
75,Austin is a beautiful city. I appreciate your efforts to decriminalize homelessness. I just hope that we continue to work towards housing the homeless.
76,Listen to people
77,I would like to sit down with the mayor.  I have tried three times with no success.  He is taking the city in the wrong direction.  He had better vision and talking points when running for Mayor in 2014.
78,We appreciate your efforts!
79,PROPERTY TAXES TOO HIGH
80,Traffic issues need to be addressed.
81,Do the city a favor and quit your job
82,SOMETHING NEEDS TO BE DONE ABOUT FM620 IN NORTH WEST AUSTIN. CITY NEEDS REAL RAIL SYSTEM.
83,Affordable housing is greatly needed for those that have been and continue to be displaced in east Austin. Clean up our streets by providing affordable places to live.
84,Please disallow panhandling in Austin and overnight camping. Please work with TXDOT to control homelessness and drug sales under I-35.
85,Planning for change and addressing the issue of the cost of living in Austin
86,"Hard job to dissuade zealots and bigots to your moderate mind-set philosophy. Had to start affordable housing all the way at Wells Branch in PVille!! Don't give up trying to convince the State Reps to lower taxes and the speed in which taxes are raised yearly, creating this negative  impact on the ingenious population on the Eastside of Austin, unless this is the intent. In which case, people have no choice but to rebel eventually."
87,Need more focus on East Austin Neighborhood and their surrounding. Visit with the elders and ho around and questions in person how they can make this a safe and drug free neighborhood.
88,Cost of living and child care cost needs to be addressed
89,Better education and funding to schools and teachers
90,HELP AUSTIN BECOME A BETTER PLACE.
91,Water Bill Rates
92,Concentrate on City business and stay out of the politics of others and follow the laws .
93,Please focus on working with developers to build more 3+ bedroom housing in the downtown area.
94,You need to stop focusing on the needs of the few and focus on the needs of the many. We do not want to be Portland.  We create waste and will never be zero waste  We need cost effective energy. We don't want any more bike lanes. We do not want to be a sanctuary for the homeless We want leaders that will focus on the real problems
95,More street police downtown for events.
96,The city needs to make housing more affordable and stop the gentrification of East Austin and other areas.
97,"All the bicycles lanes should be ONLY accessible when a cyclist is riding their bike in that lane. The COA has congested traffic by doing so. There are more vehicles than bikes that utilize the lane. You're FORCED to be at the mercy of the driver before you, not even going the speed limit! Spray BIKE on the pavement EVERYWHERE!"
98,How do you pay rent when you only make $1200 a month and rent is that??
99,"Read : 
""Anatomy of the State"" by Murray Rothbard
""Economics in one lesson"" by Henry Hazzlit 
""It's a Jetsons World"" by Jeffrey Tucker 
""The Law"" by Fredrick Bastiat
""The Not So Wild  West"" Terry Anderson
""Free To Choose"" by Milton Friedman
""Human Action"" by Ludwig Von Mises
""The Most Dangerous Superstition"" by Larken Rose
Thank you."
100,"Please focus on transportation as the thing that can Austin a scalable city. This includes public transport and improvements to ABIA. The arts, cultural and affordability all must occur to support growth but we cannot continue to just let growth happen to us. We must become a pioneer in Texas to addressing these items in a meaningful way and take curses from cities who have succeeded and build a best in class solution that makes our city a truly world class one that retains the aspects that make it great today."
101,The city of Austin needs to embrace diversity and strive for affordable living
102,Expand the definition of diversity to mean more than gay pride...have low cost events to encourage interaction from all citizens regardless of income and social status....build more affordable housing...train police officers to deal with mental health issues or incidents
103,"Austin is no longer a small - medium city, we are one of the fastest growing cities in the country. Trying to maintain the infrastructure for a city that no longer exists is folly that will lead to it suffering and inevitably the poor suffer first."
104,Grow a pair!
105,UTILITIES ARE TOO HIGH.
106,"Keep Austin weird, save, and diverse"
107,"I want to live in a city with singles, couples and families.  It feels like the market for city planning are directed to shape a specialized place that no longer works for families with children."
108,DO NOT IMPOSE REZONING AND ADDED DENSITY ON MY HOME/NEIGHBORHOOD.
109,Affordability is important. People born here should be able to afford a home here.  We need better public transit.
110,OLDER CITIZENS HAVE BEEN PUSHED OUT.
111,"APD WORKING WITHIN THE COMMUNITY. TAXES, GENTRIFICATION. AFFORDABLE HOUSING"
112,"Too many homeless ppl under bridges, it makes living environment looks really deplorable regardless of where one lives or how high rent is. Some needs to be done ."
113,SENIOR ASSISTANCE.
114,"Wake up, represent all residents, not just the wacky liberal element - quit wasting money as taxes are already too high!"
115,KEEP TIGHT TAB ON CITY EXPENDITURES AND SIZE
116,"EFFICIENT PUBLC TANSP TO AND FROM AIRPORTS AROUND CITY, FIX I-35, BUS STOPS SHOULD NOT TAKE PLACE IN LANES OF TRAFFIC FLOW, THIS SURVEY COULD'VE BEEN DONE ONLINE, IN DC THEY HAVE MAJOR ROADS TO AND FROM THE CITY WITH MULTIPLE LANES, THE MIDDLE LANE WILL TRAVEL INA DIFFERENCT DIRECTION DEPENDING ON THE TIME OF DAY/TRAFFIC PATTERN. FOR EXAMPLE THE MIDDLE LANE ON S LAMAR WOULD TRAVEL NORTH TOWARDS THE CITY IN THE AM AND SOUTH AWAY FROM THE CITY IN TRAFFIC RUSH HOUR PM"
117,"Help keep our children, and community safe from the negative that people bring into our neighborhoods"
118,"Make sure lyft and uber and ride share ALWAYS stay in Austin, or you'll lose diversity and the appeal of the city. Yellow cab is an advertisement for drinking and driving. They are unsafe to use."
119,STOP PAVING THE STREETS THE NEIGHBORHOOD WITH THOSE CRYSTAL ROCKS BECAUSE THE PAVING IS UNSATISFACTORY IN MY STREET.
120,Please quit trying to further politicize our city further to the left.
121,"The mayor should resign, fire 25% of the workforce, get the bums off the street, and audit the city government financials."
122,TRAFFIC CONGESTION IN NEIGHBORHOODS.
123,BE FAIR
124,"THE WAY MINORITIES ESPECIALLY BLACKS ARE TREATED IN THIS CITY. HOW THEY ARE LOOKED AT, TREATED AND DISENFRACHISED. IF YOU GO IN CERTAIN PARTS OF TOWN , HOW YOU ARE TREATED AND GIVEN AN UNSPOKEN MESSAGE OF WHAT OR WHY ARE YOU HERE."
125,"AFFORDABLE HOUSING IN EAST AUSTIN. GENTRIFICATION HAS TAKEN OVER. IT HAVE LEFT OUR SCHOOLS WITH LOW ENROLLMENT SO MANY HAVE HAD TO LEAVE . BUILD AFFORDABLE HOMES, BRING PEOPLE BACK, STOP PUSHING BLACKS AND MEXICANS OUT OF EAST AUSTIN. IT IS NOT FAIR TO PEOPLE, BUSINESSES, ETC."
126,"Make our city more affordable, and manage traffic."
127,There should be a cutoff for property taxes.
128,YOU MUST RESTORE INTEGRITY TO THE CITY. NO ONE BELIEVES YOU ARE WORKING HARD TO IMPROVE OUR CITY. NOT WHEN WE ALL SEE THE MOST PUBLIC WORKERS CONSTANTLY SLACKING OFF AND OVERSTAFFING POTHOLE FILLS.
129,CURRENT GROWTH PROGRAM DOES NOT APPEAR TO BE MAKING A DENT. QUALITY OF LIFE IS BAD.
130,MORE PUBLIC TRANSPORTATION FOR DISABLED CITIZENS
131,"Stop gentrification in East Austin and increased high taxes which are designed to take peoples homes and up root them to live in other neighborhoods.  
Give incentives to APD to encourage them to live in inter city neighborhoods so policemen can get involved with interacting and knowing their neighbors. This will enable 
less crime and better or improved neighborhoods."
132,While tackling the big problems look for & solve easier problems too. Like running red lights.
133,"REPRESENT ALL RESIDENTS, NOT JUST THE LIBERAL ELEMENT."
134,Funding for all city services should be considered when making a decision on the COAs budget.  Keep taxpayers informed about issues before decisions are made. Better address affordable housing for longtime residents of Austin including more City-owned public housing on city-owned property. Support legislation for affordable housing and health for all people.
135,AUSTIN IS GROWING AT A FAST RATE PLANS INVOLVING MOBILITY SHOULD LOOK OUT 5-10 YEARS.
136,Affordable housing rent and owning.  More black owned businesses and cultural events.
137,don't overlook oak hill
138,FOCUS ON CORE SERVICES.
139,"That you help all people, not just one"
140,Thank you for your service!
141,"Taxes too high. Quit providing all free services, health care for example. Fix the traffic problems."
142,Stop catering to special interests
143,Listen to residents about Code Next. Many of our neighbors are very against it or do not understand it.
144,"Urban rail along Lamar, 360 to airport."
145,The tax base should be more fair. The schools should be more equitable and desegregated.
146,Sick and tired of construction work on roads. Construction in every direction.
147,improve public transit options
148,"Better communication to city's transplants. I want to get involved civically, but don't know where to start."
149,STOP GENTRIFICATION
150,"Quality should be a serious priority in housing, employment, education and city services. Address the real cost of gentrification in East Austin!"
151,Property taxes are too high.
152,Mr. Mayor I have tried to contact you personally for three years. There are some 22 items you could have done in your 4 years to improve lives of the citizens. I ran for mayor in 2014 and you seem to understand and take many of my suggestions.
153,Need a well thought out zoning and an answer to traffic and housing difficulties.
154,"Homelessness is out of control. You have to balance services versus enabling the problems. Arch is crowded, messy, trashy and overflowing every time I drive by. Start with keeping outside cleaner and then do something that is productive for them."
155,COST OF HOUSING SOME APARTMENTS CLAIM TO UPGRADE BY PAINTING OR ADD A FEW ITEMS BUT STILL HAVE ISSUES WITH THE BUILDING.
156,Make it more inviting for seniors to retire and live here.
157,LOWER UTILITIES
158,Why can't all of Austin look like North and West Austin?
159,"that soccer stadium m deal of mckalla place for millionaires is b********, make him pay market value for the land and bill him for the taxes and infrastructure"
160,It would benefit African American if east Austin stop gentrification. Minorities are being forced out due to pricey property taxes and it seems city never interested in east side until it became appealing to whites.
161,Develop programs to educate youth with mental and emotional challenges. Public schools are struggling to help these kids and they need financial help.
162,"WORK ON HOUSING, ROADS AND SCHOOLS"
163,OVERALL CLEANLINESS IS BETTER THAN NY FOR SURE. NEIGHBORHOOD LIBRARIES SUFFER LACK.  REMIND POLICE TO SERVE ALL .
164,"less social engineering more streets, traffic light that work and treat everyone the same instead of constantly looking for ways to favor your constituency"
165,THE MAJOR COUNCIL'S JOB IS TO TAKE CARE OF OUR CITY SERVICES ANS STRUCTURE.
166,STOP RAISING PROPERTY TAXES! THIS CITY HAS PLENTY OF MONEY SPENDING IS CRAZY!
167,BETTER PUBLIC TRANSPORTATION
168,NO MORE TOLL ROADS. ADDRESS PUBLIC TRANSPORTATION AND AFFORDABLE HOUSING
169,"Please spend money on infrastructure.  Let's expand the roads to accommodate the people moving here.  We are spending way too much time getting from point a to point b.  Oh, thank you for bringing MLS to ATX.  Thanks."
170,REDUCE THE RAPID ESCALATION OF PROPERTY TAX. FOCUS ON HELPING THE NATIVE BORN MIDDLE CLASS IN AUSTIN.
171,CITY NEEDS AN AUDIT.
172,STOP TRYING TO BE SEATTLE OR SAN FRANCISCO-STOP THE BE FEEL-GOOD PROGRAMS
173,THIS CITY IS GROWING AT A RATE WHERE SOON IT WILL HAVE ALL THE PROBLEMS OF DALLAS AND HOUSTON. PLEASE SAVE OUR NEIGHBORHOODS BY MAKING IT MORE DIFFICULT FOR BIG BUILDERS TO BUY UP SMALLER HOMES AND TURN THEM INTO CHARACTERLESS MONSTROSITIES.
174,NEED MULTI FACETED TRANSPORTATION SOLUTIONS TO MAKE SURE RESIDENTS AREN'T LEFT BEHIND AS THE TECH ELITE REAP THE BENEFITS OF AUSTIN'S GROWTH.
175,Communication of HEBS education center is awful unclear use every day language not gov't. No more resurfacing please repave as that is the only answer.
176,The city and this area have changed in ways that are not sustainable and there seems to be little you can do. Redevelopment to bring or require commercial areas to include residence might help to make the city more livable if the price is livable. Just remember Detroit was once fast growing too.
177,put a  cap on the rents here and increase the salaries for workers all over Austin so they will stay and I won't become homeless  thanks
178,OVERALL COST OF LIVING IS TOO HIGH AND DRIVING OUT LOCALS.
179,BIKE LANES ON SOUTH FIRST
180,In all honesty.  I have no clue what to say to the mayor.  I appreciate the effort that the city has put in police relations with it's residents.  I'd like to see programs that would let children be involved in our city's government . Getting to know the men and women who run our city. Getting them interested in the state.
181,Affordable housing to end homelessness.
182,(1) High tax rate. (2) Very poor traffic on main highways. (3) High water rates.
183,"The transportation inside the city is pathetic. Why not copy European cities like Amsterdam, Copenhagen. More public transportation and less cars. Bike lanes that go somewhere would be nice."
184,To get fire and emergency services out to the Del Valle area.
185,"Congestion, congestion, congestion!!"
186,Do something about traffic.
187,"out of state investors should not be allowed to purchase Austin real estate and gouge the prices for local who  live/work here. you are making it unaffordable for the artists that make Austin what it is, keep amazon away, they are going to make traffic/housing worse, legalize/discriminate cannabis"
188,Less taxes
189,Start providing equal services to NW Austin that are provided else where and stop wasting money on special interest groups
190,Expand IH-35 to six or more lanes from Buda to Georgetown. Stop adding bile lanes.
191,AFFORDABLE HOUSING OR RENTAL.
192,THE MAYOR SHOULD VOTE FOR TRAVIS DUNCAN FOR MAYOR AND TRY REALLY HARD TO FOCUS ON PROVIDING AFFORDABLE HOUSING FOR THE RESIDENTS.
193,lower property taxes
194,"If you are going to buy out the east ""central"" Austin, please don't take away from the city's history and culture of that side of town for what you believe the aliens think it should look like."
195,"Affordable housing, traffic"
196,AUSTIN IS A BEAUTIFUL CITY WITH GREAT DIVERSITY AND FRIENDLY PEOPLE
197,DISCOURAGE THE SALE OF ALCOHOLIC BEVERAGE .
198,The cost to live here is way out of control.  I am going to have to move away to be able to live decently.
199,Bad increase in prejudice and decreased quality of life.
200,"Get rid of the Link and other motorized scooters downtown. They are dangerous, they drive between cars, they leave them everywhere."
201,"When I was five, I told my Auntie ""one day"" I'm going to move back to this city because I was born here and this is where I belong"". When I was 23 I did move back. Now I can't figure out why it meant so much to me. Why? Because this city has lost it's authenticity and now I'm not sure why I would choose to stay. Please help me feel happy in my home."
202,Traffic is a huge problem.  Construction time takes too long.  Train services are far too limited.  Bus services are far too limited.  Not enough sidewalks in north Austin.
203,"THE HOMELESS DOWNTOWN. THE NUMBER IS GROWING TOO FAST. I UNDERSTAND WE WILL HAVE THIS PART OF SOCIETY TO HELP, BUT NOW I CANNOT GO ANYWHERE WITHOUT EVERY CORNER BEING OCCUPIED OR BEING APPROACHED. I HAVE BEGUN TO LIMIT MY WALKING EXPERIENCE DURING THE EVENING."
204,Keep the homeless areas  clean. Like benwhite& manchaca
205,"Austin is growing rapidly and the city needs to account for that more efficiently. I know many people agree that highways and housing need more attention. Housing is only rising, everywhere in Austin, making it harder for middle class. I know sections of highways that have been under construction for five plus years Traffic hasn't gotten any better"
206,Please protect/provide open green areas in our neighborhoods.
207,"Please get the traffic cut down, homeless population down, increase funds to animal shelters and libraries."
208,Work for the people and bring down the cost of living in Austin.
209,"Austin is growing so quickly, it does not seem like it can catch up to how many folks move here with housing and employment. It would be great to feel safe in our hometown again. We will probably move away when our child has finished high school to the outskirts or another town."
210,More scooters in locations like Byrd and Lime. Less major events.
211,Traffic flow.
212,BUS TRANSPORTATION IS NOT THE ANSWER.LIMIT RAIL FROM AIRPORT-DOWNTOWN THEN BRANCH OUT.
213,"THE TRAFFIC CONGESTION IS JUST AWFUL, BUT DON'T KNOW WHAT THE POOR MAYOR CAN DO TO EASE THE PROBLEM."
214,Sidewalk improvement in older neighborhoods. City road work done during off traffic days. Monorail networks. Move ACL out of Barton Springs area.
215,"Austin is a nice, little capital city but it needs a lot of work if it envisions itself as a great place in the larger world"
216,UPDATE YOUR WATER FACILITIES THIS IS COMPLETELY RIDICULOUS.
217,Get the affordable housing for single and married families.
218,NOT AN AFFORDABLE COMMUNITY TO RAISE CHILDREN.
219,TOLL ROADS AND INFRASTRUCTURE
220,KEEP UP THE RACIAL EQUALITY WORK. SPEND MORE MONEY ON SOCIAL SERVICES AND HOUSING AND LESS ON THE POLICE.
221,GET RID OF DAY LIGHT SAVINGS!
222,"I'm sure you agree that the traffic and lack of public transportation options have been an ongoing issue. 
 I am also concerned with the amount of homeless that have taken up residence on public land, which has increased the amount of litter and trash. 
The remodel of our house has gone on for two years due to the inspectors contradicting each other with each visit, causing thousands of dollars in excess of budget."
223,"Stop allowing the homeless to camp anywhere.  It's hurting businesses everywhere.  My customers are starting to feel unsafe by their erratic behavior.  By the time we call 911, they're long gone."
224,Do more for women's reproductive right please
225,PLEASE PROCEED WITH CAUTION AND CARE WITH REGARD TO EXPANDING THE FREEDOM OF HOMELESS TO PANHANDLE AND CAMP. THE INTERSECTIONS IN NW AUSTIN ARE BECOMING MORE POPULAR FOR PANHANDLERS WHO ARE VERY COMFORTABLE GOING INTO LANES OF TRAFFIC.
226,WE CANNOT PROVIDE EVERYTHING FOR EVERYONE.
227,Think about the needs of retired people.
228,Public transportation and affordable housing are the biggest issues facing this city and need massive improvements!
229,Property taxes are too high and should be replaced with some sort of consumption based tax and/or income tax.
230,I would go back to work full-time if childcare was affordable and I felt VERY comfortable with the childcare facility. This would also make it easier for our family to afford to buy a home. My student loans are holding us back.
231,focus on city issues and problems not on politics
232,Great job!
233,Very disappointed to hear of plans to reduce Jollyville to two lanes.  It is a very important road to our northwest community.  Simply complete the remaining sidewalk sections.
234,FIX TRAFFIC ON 183 MOPAC AND I-35.
235,there is a lot of homeless in the city are there programs we can provided to help lesson the amount
236,"Pave the bike paths around Lake Bird Lake (10-mile trail) and get the scooters off the trails (Lime, T-Bird). Too many accidents and bike cops just issue warnings!"
237,WE NEED TO DRASTICALLY IMPROVE MASS TRANSPORTATION AND AFFORDABLE LIVING OPTIONS FOR PEOPLE IN THE MEDIAN INCOME RANGE.
238,Keep Austin affordable.
239,Increase options for public transportation it is dangerous to drive or be a pedestrian in Austin.
240,ANY BENEFITS THAT CAN BE AFFORDED TO TEACHERS SHOULD BE.
241,"Please help provide more transportation options and help with securing better bike lanes, especially in/around major highways and highly congregated parts of town. Thank you for all that y'all do!"
242,"Nurture what you already have. Be discriminate about development. Austin feels like a free for all now instead of a thoughtful, calm and affordable place. The low tier workers are being marginalized rather than protected. Purge APD of racial bias. Enforce noise code violations. Legalize pot."
243,"Plan for future generations.  Stop developing beyond the city's ability to manage, citizen's ability to afford and the water resources supply to provide."
244,Better services for the homeless.
245,SOLUTIONS TO THE TRAFFIC
246,"STOP DEVELOPING!!! GROW UP, NOT OUT!!!!! NO MORE TRAFFIC!!! WE DO NOT WANT PEOPLE MOVING HERE!!!!"
247,AFFORDABILITY IS BIGGEST ISSUE.
248,"Rename IH35 the Rick Perry memorial tollway, force all traffic not ending in Austin to use Tx130, rename that road IH35."
249,stop delaying important decisions and make the best one available and move on to solutions
250,PLEASE LOWER PROPERTY TAXES AND GIVE RETIREES A BREAK SO THEY CAN AFFORD TO STAY IN THEIR HOMES.
251,DON'T LET SPECIAL INTEREST GROUPS AFFECT YOUR ATTENTION TO LOW INCOME FAMILY WELFARE.
252,"You have a tough job and a very engaged electorate, which in some ways can be a blessing but in many other ways can be a curse. Minding the basics is the most important thing cities can do for most folks"
253,Reduce property taxes.
254,DISCONTINUE AUSTIN AS A SANCTUARY CITY.
255,"DO THE AUDIT, THE HOMELESS GET AWAY WITH TOO MUCH."
256,SANCTUARY CITIES LIKE AUSTIN ARE ON A PATH FOR DISASTER.
257,"Cut frivolous programs, leave the social programs to charities, focus on city infrastructure, police, fire, and ems. Lower property taxes. Austin citizens should not be considered an bottomless piggy bank."
258,Please create a way to keep your musicians here by making it affordable to live here. We are leaving by the dozens. We are the very reason people are drawn to Austin. Please!
259,INCREASE PUBLIC EDUCATION/ INFORMATION ABOUT POLLUTION AND LITTERING
260,KEEP CITY OF AUSTIN OPEN AND FRIENDLY
261,TRAFFIC CONGESTIONS
262,SCOOTERS ARE DANGEROUS AND VIOLATE CITY RULES.
263,Thank you for being the positive change that Austin needs in order to make this city an outstanding community.
264,I HAVE NO FAITH IN THE CITY COUNCIL LISTENING TO THE RESIDENTS. OVERCROWDING.
265,"My land value increased $50,000, with no improvement of services.  Traffic is horrible, both want to make me leave Austin."
266,"VOTE WITH RESIDENTS IN MIND, WE ARE FEELING LARGELY IGNORED BY THE MAYOR AND COUNCIL."
267,WE PAY THE CITY MANAGER WAY TOO MUCH TO STILL HAVE SO MUCH WASTE AND WE ONLY EVER HEAR ABOUT RAISING TAXES. YOU NEED TO HOLD THAT MANAGER ACCOUNTABLE TO OUR HARD EARNED MONEY AND STOP HAVING YOUR CITIZENS BAIL OUT AN INEFFECTUAL CITY GOVERNMENT.
268,RESCIND THE CALIFORNIA TYPE ORDINANCES BEING ENABLED. IT IS A NIGHTMARE LIVING THERE-WE DON'T NEED THAT HERE
269,"STOP WASTING MONEY ON THE HOMELESS OR PUT A SHELTER IN TARRYTOWN. FOCUS ON ROADS,POLICE, FIRE AND BASIC CITY SERVICES. FOCUS ON GROWTH. ITS HAPPENING WHETHER YOU LIKE IT OR NOT. THE CITY IS GOING DOWNHILL"
270,Change is inevitable but not always a good thing.
271,"BETTER BALANCE INTERESTS OFLONG TIME NEIGHBORHOOD RESIDENTS WITH DENSITY/GROWTH NEEDS. DON'T GIVE AWAY TO DEVELOPERS AT EXPENSE OF LONG TERM RESIDENTS. ESPECIALLY DON'T REDUCE PARKING REQUIREMENTS FORDEVELOPERS AND MAKE THEM BUILD AFFORDABLE UNITS-NOT JUST TOSS PENNIES INTO A JAR, WHILE THEY CONCENTRATE ON LUXURY UNITS."
272,"RUN OUR CITY LIKE A BUSINESS, IT REAKS OF CORRUPTION."
273,Make it more affordable for the middle class that built Austin.  It's really unfair that we have to spend 60 minutes in a car going to and from work in the City Center fighting traffic every day!
274,Stop worrying about what popular and do what's right for the city. Not a special group
275,"Increase the recycling rate, ban use of single plastic and Styrofoam."
